"Kod","Popisek"
"ROKUPLEFF","Konsolidovaný rok uplatnìní výsledku"
"VYSDRUKOD","Druh výsledku v RIV"
"DRUHODKOD","Druh výsledku v hodnocení"
"VYSBOD","Bodové ohodnocení celého výsledku"
"VYSKBO","Upravené bodové ohodnocení celého výsledku"
"VYSPDL","Podíl hodnocené VO na výsledku"
"PKLBOD","Bodový podíl hodnocené VO na výsledku"
"PKLKBO","Upravený bodový podíl hodnocené VO na výsledku"
"P2_VYSKATPKL","Kategorie výsledku ve II. Pilíøi pro pøedkladatele"
"P2_PNL","Kód panelu, který provedl hodnocení výsledku"
"P2_VYSPDLA","Podíl pøedkldatele na  výsledku hodnoceném ""A"""
"AUTSZNDOM","Seznam domácích tvùrcù výsledku (pøíjmení, jméno, identifikátor)"
"VYSNAZORI","Název výsledku v pùvodním jazyce"
"VYSJAZKOD","Kód jazyka výsledku"
"CR_OBR","Obor výsledku"
"RVVOBRSKU","Skupina oborù dle Metodiky (konsolidovaný údaj)"
"PATCIS","Èíslo patentu"
"STUDUVKOD","Kód stupnì dùvìrnosti údajù"
"VYSWWW","Odkaz na webovou stránku s plným textem výsledku nebo na domovskou stránku výsledku"
"VYSWEBURL","Webová stránka s plnými detaily výsledku v hodnocení, vèetnì možnosti pøechodu na další dodané záznamy o nìm"
"VYSIDKPER","Identifikaèní kód výsledku s oznaèením dodávky dat dle RIV"
"VYSNID","Identifikaèní kód sjednoceného výsledku"
"NASOB","Násobnost výsledku"
"BTBPOLKOD","Kód hodnocení"
"BTBPOLPOP","Popis"
"INSICOPKL","IÈO"
"INSNAZPKL","Název instituce"
"ORJKODPKL","Kód organizaèní jednotky"
"ORJNAZPKL","Název organizaèní jednotky"
"FYZOSOPKL","Pøíjmení a jméno fyzické osoby"
